Model,Score,SSIM,PSNR,DS,Time,Memory
HiCARN-1,0.9154,0.9275,36.8328,16,3.54,21.66
HiCARN-1,0.9214,0.908,35.0725,16,3.54,21.66
HiCARN-1,0.9054,0.9058,33.7143,16,3.54,21.66
HiCARN-1,0.9268,0.9064,34.7086,16,3.54,21.66
HiCARN-2,0.9124,0.922,36.6044,16,6.09,23.47
HiCARN-2,0.9188,0.9028,34.8963,16,6.09,23.47
HiCARN-2,0.9024,0.8999,33.5587,16,6.09,23.47
HiCARN-2,0.924,0.9002,34.491,16,6.09,23.47
DeepHiC,0.9016,0.9133,36.2182,16,5.56,14.15
DeepHiC,0.9094,0.8941,34.3888,16,5.56,14.15
DeepHiC,0.8891,0.8874,32.7258,16,5.56,14.15
DeepHiC,0.9163,0.895,34.0394,16,5.56,14.15
HiCSR,0.8852,0.9244,32.3773,16,20.71,24.61
HiCSR,0.8925,0.9003,30.7684,16,20.71,24.61
HiCSR,0.7268,0.8732,29.5508,16,20.71,24.61
HiCSR,0.9056,0.9041,30.2303,16,20.71,24.61
HiCNN,0.8932,0.9205,35.6491,16,25.29,40.74
HiCNN,0.9042,0.8973,33.6078,16,25.29,40.74
HiCNN,0.8809,0.8783,30.9393,16,25.29,40.74
HiCNN,0.9124,0.8989,33.8961,16,25.29,40.74
HiCPlus,0.8785,0.9005,32.2932,16,2.20,6.33
HiCPlus,0.886,0.8742,31.2952,16,2.20,6.33
HiCPlus,0.864,0.8502,28.8525,16,2.20,6.33
HiCPlus,0.8913,0.8758,30.8704,16,2.20,6.33
VDSR-100e,0.896641328087615,0.9132,31.35487,16,0.99,9.31
VDSR-100e,0.907409109074522,0.8945,32.31248,16,0.99,9.31
VDSR-100e,0.885105684356743,0.8763,29.99304,16,0.99,9.31
VDSR-100e,0.914716534674614,0.8930,31.41706,16,0.99,9.31
VDSR-50e,0.897710510098657,0.9117,31.3153,16,0.50,9.31
VDSR-50e,0.907633445544068,0.8927,32.21451,16,0.50,9.31
VDSR-50e,0.88472219340188,0.8742,29.91108,16,0.50,9.31
VDSR-50e,0.914473591856798,0.8905,31.29692,16,0.50,9.31
MFVDSR-50e,0.881634291532644,0.9024,31.33633,16,0.50,9.77
MFVDSR-50e,0.89516516832786,0.8835,32.47555,16,0.50,9.77
MFVDSR-50e,0.872952487061981,0.8653,30.17808,16,0.50,9.77
MFVDSR-50e,0.90383639716274,0.8819,31.85805,16,0.50,9.77
MFVDSR-100e,0.883881203273822,0.8999,31.4007453953873,16,1,9.77
MFVDSR-100e,0.896423524235549,0.8802,31.935051711682,16,1,9.77
MFVDSR-100e,0.873980628647391,0.8619,29.6136840229522,16,1,9.77
MFVDSR-100e,0.904798390292031,0.8772,30.7032137730335,16,1,9.77